link,count
https://vk.com/public101557635,1
https://vk.com/public103260535,7
https://vk.com/public105608843,1
https://vk.com/public106186699,1
https://vk.com/public107158455,1
https://vk.com/public107870045,1
https://vk.com/public118727595,1
https://vk.com/public124116417,1
https://vk.com/public124884260,3
https://vk.com/public137866530,17
https://vk.com/public138958725,1
https://vk.com/public140867172,3
https://vk.com/public142213594,1
https://vk.com/public153164937,86
https://vk.com/public165631795,3
https://vk.com/public167038479,1
https://vk.com/public170578690,1
https://vk.com/public172678394,9
https://vk.com/public182293163,1
https://vk.com/public183766360,10
https://vk.com/public189756244,3
https://vk.com/public218471652,2
https://vk.com/public152116137,37
https://vk.com/public165838780,14
https://vk.com/public28645758,16
https://vk.com/public162121263,90
https://vk.com/public104168133,55
https://vk.com/public203488550,1
https://vk.com/public189221121,58
https://vk.com/public199236839,27
https://vk.com/public187227252,111
https://vk.com/public210927687,1
https://vk.com/public120362840,1
https://vk.com/public210113435,1
https://vk.com/public182873218,44
https://vk.com/public181907004,37
https://vk.com/public203030186,60
https://vk.com/public162396571,81
https://vk.com/public118656378,32
https://vk.com/public171687570,26
https://vk.com/public55667767,2
https://vk.com/public172266618,22
https://vk.com/public142582865,106
https://vk.com/public159708114,97
https://vk.com/public201928587,49
https://vk.com/public60957092,7
https://vk.com/public191849866,6
https://vk.com/public125606423,23
https://vk.com/public65960786,15
https://vk.com/public211895250,41
https://vk.com/public221387727,1
https://vk.com/public50845366,2
https://vk.com/public182445287,1
https://vk.com/public154168174,50
https://vk.com/public22798006,13
https://vk.com/public200357122,1
https://vk.com/public30328106,3
https://vk.com/public80069197,5
https://vk.com/public90329167,1
https://vk.com/public215868499,1
https://vk.com/public40492794,16
https://vk.com/public113162622,6
https://vk.com/public126854644,3
https://vk.com/public68988957,6
https://vk.com/public85443458,70
https://vk.com/public45045130,20
https://vk.com/public172089571,2
https://vk.com/public217872617,1
https://vk.com/public148817605,20
https://vk.com/public96591297,34
https://vk.com/public80661987,1
https://vk.com/public79863581,3
https://vk.com/public168315238,41
https://vk.com/public176576703,1
https://vk.com/public151086674,9
https://vk.com/public91335741,1
https://vk.com/public48618580,1
https://vk.com/public65539312,2
https://vk.com/public166148092,1
https://vk.com/public90310027,1
https://vk.com/public217324117,1
https://vk.com/public203465768,12
https://vk.com/public101557855,1
https://vk.com/public40553536,2
https://vk.com/public181216366,4
https://vk.com/public276219,1
https://vk.com/public149279263,87
https://vk.com/public216253698,1
https://vk.com/public161194598,1
https://vk.com/public175053673,45
https://vk.com/public36885950,2
https://vk.com/public179251198,1
https://vk.com/public29435908,5
https://vk.com/public114537164,1
https://vk.com/public200758247,2
https://vk.com/public19799369,19
https://vk.com/public32805406,1
https://vk.com/public26713492,135
https://vk.com/public193509573,11
https://vk.com/public140467225,5
https://vk.com/public53782768,18
https://vk.com/public182136933,34
https://vk.com/public180706688,2
https://vk.com/public94322090,2
https://vk.com/public76335076,2
https://vk.com/public133866600,29
https://vk.com/public132138125,47
https://vk.com/public188389483,3
https://vk.com/public15199107,1
https://vk.com/public51850645,18
https://vk.com/public213820784,11
https://vk.com/public58170807,8
https://vk.com/public210913552,3
https://vk.com/public57864630,6
https://vk.com/public49824026,8
https://vk.com/public206452145,1
https://vk.com/public208756604,1
https://vk.com/public34490743,1
https://vk.com/public166124324,111
https://vk.com/public202146149,44
https://vk.com/public176853331,1
https://vk.com/public209227695,1
https://vk.com/public157341954,16
https://vk.com/public198411459,56
https://vk.com/public197461611,3
https://vk.com/public211094702,1
https://vk.com/public60454817,1
https://vk.com/public66289777,1
https://vk.com/public143049363,1
https://vk.com/public76270496,9
https://vk.com/public212056341,1
https://vk.com/public182433566,11
https://vk.com/public58643882,4
https://vk.com/public198580019,1
https://vk.com/public46252034,3
https://vk.com/public92073666,1
https://vk.com/public2272228,4
https://vk.com/public40543143,2
https://vk.com/public55851877,2
https://vk.com/public109475324,1
https://vk.com/public16054118,2
https://vk.com/public20035339,1
https://vk.com/public20249656,1
https://vk.com/public23333566,1
https://vk.com/public23337480,1
https://vk.com/public23378353,1
https://vk.com/public24419507,1
https://vk.com/public24722253,1
https://vk.com/public24933620,1
https://vk.com/public24985591,1
https://vk.com/public26170853,1
https://vk.com/public26179938,1
https://vk.com/public27260779,1
https://vk.com/public27880348,1
https://vk.com/public28468381,2
https://vk.com/public28948122,1
https://vk.com/public29246653,6
https://vk.com/public30320490,1
https://vk.com/public31533276,1
https://vk.com/public31680290,1
https://vk.com/public32035015,1
https://vk.com/public32194285,3
https://vk.com/public32253087,3
https://vk.com/public32477579,1
https://vk.com/public32509740,5
https://vk.com/public32922940,1
https://vk.com/public32939817,1
https://vk.com/public33477779,1
https://vk.com/public34351491,1
https://vk.com/public34451036,2
https://vk.com/public34491673,4
https://vk.com/public34757875,1
https://vk.com/public35778073,1
https://vk.com/public36085261,1
https://vk.com/public36184135,4
https://vk.com/public37156966,1
https://vk.com/public38285632,1
https://vk.com/public39099241,1
https://vk.com/public39153701,1
https://vk.com/public40335272,4
https://vk.com/public40377831,1
https://vk.com/public40378285,1
https://vk.com/public40708466,1
https://vk.com/public41554252,1
https://vk.com/public41807730,2
https://vk.com/public42752772,1
https://vk.com/public43879004,3
https://vk.com/public44232988,1
https://vk.com/public44415896,1
https://vk.com/public45064245,1
https://vk.com/public45799434,1
https://vk.com/public47029734,1
https://vk.com/public47679753,3
https://vk.com/public48455539,1
https://vk.com/public48868052,1
https://vk.com/public48946342,2
https://vk.com/public49291676,1
